상품명,권장 연령,권장 사이즈,사료 종류,사료 형태,주 단백질원,알갱이 크기,제조국,원산지,조단백,조지방,조섬유,조회분,수분,칼슘,인,오메가3,오메가6,기타 영양소,주성분
로얄캐닌 PRO 자이언트 퍼피,퍼피,대형견,주식,건식,,,프랑스,프랑스,34%,14%,6.5%,7.3%,8%,0%,0%,0%,0%,,"['마이즈', '탈수가금육', '마이즈 글루텐', '동물성지방', '가금단백질', '가금간', '사탕무과육', '미네랄', '계란분말', '콩오일', '생선오일', 'FOS(트럭토-올리고당)', '차전자피와 씨', '미네랄(철, 아연, 망간, 구리, 요오드, 코발트, 셀레늄)', '효모추출물(만난-올리고당의 원료)', 'DL-메티오닌', '타우린', '가수분해된 갑각류(글루코사민의 원료)', '가수분해된 연골(콘드로이틴의 원료)', '금잔화 추출물(루테인의 원료)', 'L-카르니틴']"
로얄캐닌 PRO 자이언트 주니어,퍼피,대형견,주식,건식,,,프랑스,프랑스,31%,16%,6.6%,8%,8%,0%,0%,0%,0%,,"['탈수 가금육', '쌀', '식물성 단백질 분리물', '마이즈', '동물성 지방', '가수분해된 동물성 단백질', '사탕무과육', '미네랄', '생선오일', '효모', '콩오일', 'FOS(프럭토-올리고당)', '차전자피와씨', 'L-라이신', '효모 추출물(만난-올리고당)', 'DL-메티오닌', '계란분말', '타우린', '가수분해된 갑각류(글루코사민의 원료)', 'L-카르니틴', '가수분해된 연골(콘드로이틴의 원료)', '금잔화 추출물(루테인의 원료)']"
로얄캐닌 PRO 자이언트 어덜트,어덜트,대형견,주식,건식,,,프랑스,프랑스,28%,20%,7.9%,6%,8%,0%,0%,0%,0%,,"['탈수가금육', '마이즈분말', '마이즈', '동물성지방', '마이즈 글루텐', '가수분해된 동물성 단백질', '식물분리단백질', '사탕무과육', '식이섬유', '생선오일', '미네랄', '콩오일', '효모', '보라지오일', '가수분해된 갑각류(글루코사민의 원료)', 'L-타이로신', 'L-카르니틴', '가수분해된 연골(콘드로이틴의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '타우린', '방부제', '항산화제']"
로얄캐닌 말티즈 어덜트,어덜트,소형견,주식,건식,,1Cm,프랑스,프랑스,24%,18%,1.4%,5.5%,0%,0%,0%,0%,0%,,"['쌀', '탈수 가금육', '식물성 단백질 분리물', '동물성지방', '가수분해 동물 단백질', '식물성 섬유소', '미네랄', '사탕무 과육', '생선 오일', '가수분해 콩 오일', '프럭토-올리고당', '보라지 오일', '금잔화 추출물(루테인의 원료)', '가수분해 갑각류(글루코사민의 원료)', '녹차 추출물', '포도 추출물', '가수분해 연골(콘드로이틴의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 시츄 주니어,퍼피,소형견,주식,건식,,1Cm,프랑스,프랑스,29%,18%,1.5%,6.8%,0%,0%,0%,0%,0%,,"['쌀', '탈수 가금육', '마이즈', '동물성 지방', '식물성 단백질 분리물', '사탕무 과육', '가수분해 동물 단백질', '미네랄', '생선 오일', '콩 오일', '프럭토-올리고당', '가수분해 효모(만난-올리고당의 원료)', '보라지 오일', '금잔화 추출물(루테인의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 시츄 어덜트,어덜트,소형견,주식,건식,,1Cm,프랑스,프랑스,24%,20%,3%,5.6%,0%,0%,0%,0%,0%,,"['쌀', '탈수 가금육', '동물성 지방', '식물성 단백질 분리물', '가수분해 동물 단백질', '식물성 섬유소', '사탕무 과육', '미네랄', '생선 오일', '콩 오일', '프럭토-올리고당', '보라지 오일', '금잔화 추출물(루테인의 원료)', '녹차 추출물', '포도 추출물', '가수분해 갑각류(글루코사민의 원료)', '가수분해된연골(콘드로이틴의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 닥스훈트 주니어,퍼피,소형견,주식,건식,,1Cm,프랑스,프랑스,30%,16%,1.5%,6.9%,0%,0%,0%,0%,0%,,"['탈수 가금육', '쌀', '마이즈', '식물성 단백질 분리물', '동물성 지방', '사탕무 과육', '가수분해 동물 단백질', '콩오일', '생선오일', '프럭토-올리고당', '가수분해 효모(만난-올리고당의 원료)', '금잔화 추출물(루테인의 원료)', '가수분해 갑각류(글루코사민의 원료)', '가수분해된연골(콘드로이틴의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 닥스훈트 어덜트,어덜트,소형견,주식,건식,,1Cm,프랑스,프랑스,28%,14%,2.9%,6.4%,0%,0%,0%,0%,0%,,"['쌀', '탈수 가금육', '식물성 단백질 분비물', '동물성 지방', '가수분해 동물 단백질', '식물성 섬유소', '미네랄', '사탕무 과육', '생선오일', '프럭토-올리고당', '보라지 오일', '금잔화 추출물(루테인의 원료)', '가수분해 갑각류(글루코사민의 원료)', '녹차 추출물', '포도 추출물', '가수분해 연골(콘드로이틴의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 푸들 주니어,퍼피,중형견,주식,건식,,1Cm,프랑스,프랑스,33%,19%,1.4%,7.1%,0%,0%,0%,0%,0%,,"['탈수 가금육', '식물성 단백질 분비물', '동물성 지방', '마이즈', '쌀', '마이즈 글루텐', '밀', '가수분해 동물 단백질', '마이즈 분말', '사탕수 과육', '미네랄', '생선 오일', '효모', '콩 오일', '프렉토-올리고당', '차전자피와 씨', '가수분해 효모(만난-올리고당)', '보라지 오일', '금잔화 추출물(루테인의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 푸들 어덜트,어덜트,중형견,주식,건식,,1Cm,프랑스,프랑스,30%,19%,2%,5.3%,0%,0%,0%,0%,0%,,"['마이즈', '탈수가금육', '식물성 단백질 분리물', '동물성 지방', '쌀', '마이즈 분말', '마이즈 글루텐', '가수분해 동물 단백질', '사탕무 과육', '콩오일', '미네랄', '생선 오일', '효모', '식물성 섬유', '프럭토-올리고당', '보라지 오일', '녹차 추출물', '포도 추출물', '가수분해 갑각류(글루코사민의 원료)', '금잔화추출물(루테인의 원료)', '가수분해 연골(콘드로이틴의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 미니어처 슈나우저 주니어,퍼피,중형견,주식,건식,,1Cm,프랑스,프랑스,30%,14%,1.8%,7.5%,0%,0%,0%,0%,0%,,"['탈수가금육', '식물성 단백질 분리물', '쌀', '마이즈', '소맥 분말', '동물성 지방', '밀', '마이즈 분말', '마이즈 글루텐', '가수분해 동물 단백질', '치커리 추출물', '미네랄', '생선 오일', '콩 오일', '차전자피와 씨', '프럭토-올리고당', '가수분해 효모(만난-올리고당의 원료)', '보라지 오일', '금잔화 추출물(루테인의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 미니어처 슈나우저 어덜트,어덜트,중형견,주식,건식,,1Cm,프랑스,프랑스,25%,12%,2%,8%,0%,0%,0%,0%,0%,,"['쌀', '탈수 가금육', '마이즈', '식물성 단백질 분리물', '마이즈 글루텐', '동물성 지방', '미네랄', '가수분해 동물 단백질', '치커리 추출물', '생선 오일', '식물성 섬유소', '차전자피와 씨', '프럭토-올리고당', '콩오일', '보라지 오일', '녹차 추출물', '포도 추출물', '가수분해 갑각류(글루코사민의 원료)', '금잔화 추출물(루테인의 원료)', '가수분해 연골(콘드로이틴의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 요크셔테리어 주니어,퍼피,소형견,주식,건식,,1Cm,프랑스,프랑스,29%,20%,1.3%,7%,0%,0%,0%,0%,0%,,"['탈수 가금육', '쌀', '마이즈 분말', '동물성 지방', '식물성 단백질 분비물', '사탕무 과육', '가수분해 동물 단백질', '미네랄', '콩오일', '생선 오일', '프럭토-올리고당', '가수분해 효모(만난-올리고당의 원료)', '보라지 오일', '금잔화 추출물(루테인의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 요크셔테리어 어덜트,어덜트,소형견,주식,건식,,1Cm,프랑스,프랑스,28%,18%,3.1%,5%,0%,0%,0%,0%,0%,,"['탈수 가금 단백질', '마이즈 분말', '쌀', '동물성 지방', '식물성 단백질 분리물', '마이즈', '마이즈 글루텐', '가수분해 동물 단백질', '식물성 섬유소', '사탕무 과육', '미네랄', '생선 오일', '효모', '콩 오일', '프럭토-올리고당', '가수분해 효모(만난-올리고당의 원료)', '보라지 오일', '녹차 추출물', '포도 추출물', '금잔화 추출물(루테인의 원료)', '가수분해 갑각류(글루코사민의 원료)', '가수분해 연골(콘드로이틴의 연료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 불독 주니어,퍼피,중형견,주식,건식,,,프랑스,프랑스,30%,17%,7.1%,2.9%,8%,0%,0%,0%,0%,,"['쌀', '탈수 가금육', '동물성 지방', '탈수 돈육 단백질', '식물성 단백질 분리물', '사탕무 과육', '미네랄', '생선오일', '콩오일', '프럭토-올리고당(FOS)', '계란분말', '폴리인산나트륨', 'DL-메티오닌', '효모 추출물(만난-올리고당의 원료)', '타우린', '가수분해된 갑각류(글루코사민의 원료)', 'L-라이신', '금잔화 추출물(루데인의 원료)', '가수분해된 연골(콘드로이틴의 원료)']"
로얄캐닌 불독 어덜트,어덜트,중형견,주식,건식,,,프랑스,프랑스,24%,14%,6.7%,5.2%,8%,0%,0%,0%,0%,,"['쌀', '탈수 가금육', '식물성 단백질 분리물', '동물성 지방', '탈수 돈육 단백질', '가수분해된 동물성 단백질', '사탕무 과육', '식물성 식이섬유', '미네랄', '콩오일', '생선 오일', '계란분말', '(FOS)프럭토-올리고당', '폴리인산나트륨', '구연산칼륨', '금찬화추출물(루테인의 원료)', '가수분해된 갑각류(글루코사민 원료)', '녹차 추출물', '포도 추출물', '가수분해 연골(콘드로이틴 원료)']"
로얄캐닌 라브라도 리트리버 주니어,퍼피,대형견,주식,건식,,,프랑스,프랑스,33%,14%,1.5%,6.8%,9.5%,0%,0%,0%,0%,,"['쌀', '탈수가금육', '마이즈글루텐', '마이즈', '동물성지방', '식물성 단백질 분리물', '보리', '가금단백질', '가금간', '사탕무과육', '미네랄', '생선오일', '콩 오일', '보라지 오일', '계란분말', 'FOS(프럭토-올리고당)', '미량원소(킬레이트화 미량원소 포함)', '차전자피와 씨', 'L-라이신', '효모추출물(만난-올리고당)', '타우린', '가수분해된 갑각류(글루코사민이 풍부)', 'DL-메티오닌', '가수분해한 연골(콘드로이틴의 원료)', 'L-카르니틴', '비타민', '금잔화 추출물(루텐인의 원료)']"
로얄캐닌 라브라도 리트리버 어덜트,어덜트,대형견,주식,건식,,,프랑스,프랑스,30%,13%,10.3%,6.3%,8%,0%,0%,0%,0%,,"['탈수가금육', '쌀', '마이즈', '가수분해된 동물성 단백질', '보리', '동물성지방', '식물성식이섬유', '마이즈 글루텐', '사탕무과육', '식물성 단백질 분리물', '미네랄', '생선오일', '콩오일', 'FOS(플럭토-올리고당)', '차전자피와씨', '폴리인산나트륨', '가수분해된 갑각류(글루코사민의 원료)', '보라지오일', '녹차 추출물', '포도 추출물', '금잔화 추출물(루테인의 원료)', '가수분해된 연골(콘드로이틴의 원료)']"
로얄캐닌 골든리트리버 주니어,퍼피,대형견,주식,건식,,,프랑스,프랑스,29%,16%,4%,6.5%,8%,0%,0%,0%,0%,,"['탈수가금육', '쌀', '옥수수', '식물성 단백질 분리물', '동물성 지방', '밀', '식물성 섬유', '가수분해된 동물성 단백질', '사탕무 과육', '물고기 오일', '콩 오일', '보라지 오일', '프럭토-올리고-사카라이드(F.O.S)', '사일리운의 껍질과 씨앗', '소디움 폴리 포스페이트', '가수분해된 효모(MOS의 원료)', '타우린', '가수분해된 갑각류(글루코사민의 원료)', '금잔화 추출물(루테인의 원료)', 'L-카르니틴', '가수분해된 연골(콘드로이틴의 원료)']"
로얄캐닌 골든리트리버 어덜트,어덜트,대형견,주식,건식,,,프랑스,프랑스,25%,13%,3.9%,6%,8%,0%,0%,0%,0%,,"['탈수 가금육', '옥수수', '쌀', '밀', '식물성 단백질 분리물', '동물성 지방', '가수분해된 동물성 단백질', '식물성 섬유', '사탕무 과육', '미네랄', '물고기 오일', '콩 오일', '보라지 오일', '토마토(라이코펜의 원료)', '싸일리운의 껍질과 씨앗', '프럭토-올리고당', '소다움 폴리포스페이트', '타우린', '가수분해된 갑각류(글루코사민의 원료)', 'L-카르니틴', 'DL-메티오닌', '금잔화 추출물(루테인의 원료)', '녹차 추출물', '포도 추출물', '가수분해된 연골(콘드로이틴의 원료)']"
로얄캐닌 저먼세퍼트 주니어,퍼피,대형견,주식,건식,,,프랑스,프랑스,30%,16%,2.8%,6.5%,8%,0%,0%,0%,0%,,"['탈수가금육', '식물성단백질 분리물', '동물성 지방', '가금 단백질', '가금 간', '미네랄', '식물성 식이섬유', '사탕무 과육', '생선오일', '계란분말', '콩 오일', 'FOS(프럭토-올리고당)', 'L-라이신', '폴리인산나트륨', '가수분해된 효모 추출물(만난-올리고당이 풍부)', '타우린', 'DL-메티오닌', '차전자피와 씨', '미량 원소(킬레이트화 미량원소 포함)', '가수분해된 갑각류(글루코사민이 풍부)', '비타민']"
로얄캐닌 저먼세퍼트 어덜트,어덜트,대형견,주식,건식,,,프랑스,프랑스,24%,19%,8%,8%,8%,0%,0%,0%,0%,,"['쌀', '탈수가금육', '동물성 지방', '식물성 단백질 분리물', '마이즈 분말', '식물성 식이섬유', '미네랄', '가수분해된 동물성 단백질', '사탕무 과육', '코프라 오일', '콩 오일', '물고기 오일', '폴리인산나트륨', '가수분해된 효모(만난-올리고당)', '가수분해된 갑각류(글루코사민의 원료)', '녹차 추출물', '포도 추출물', '가수분해된 연골(콘드로이틴의 원료)', '금잔화 추출물(루케인의 원료)']"
로얄캐닌 스타터 무스 마더&베이비독,퍼피,All,주식,습식,,,오스트리아,프랑스,10%,6%,1%,1.5%,0%,0%,0%,0%,0%,,"['고기', '동물성 분리물', '곡물단백질', '식물성 분리물', '오일', '지방', '우유', '우유 유도체', '미네랄', '효모', '비타민D3', '철', '요오드', '구리', '망간', '아연']"
로얄캐닌 미니 주니어 캔,퍼피,소형견,주식,습식,,,오스트리아,프랑스,9%,6%,1%,1.5%,0%,0%,0%,0%,0%,,"['고기', '동물성 분리물(닭,칠면조&돈육)', '곡물단백질', '오일', '지방', '식물성 분리물', '미네랄', '비타민D3', '철', '요오드', '구리', '망간', '아연']"
로얄캐닌 미니 어덜트 라이트 캔,어덜트,All,주식,습식,,,오스트리아,프랑스,9%,2.7%,2.5%,1.4%,0%,0%,0%,0%,0%,,"['고기', '동물성 분리물(닭,칠면조&돈육)', '곡물단백질', '식물성 분리물', '미네랄', '비타민D3', '철', '요오드', '구리', '망간', '아연']"
로얄캐닌 미니 어덜트 뷰티 캔,어덜트,소형견,주식,습식,,,오스트리아,프랑스,9.6%,6.4%,2%,2%,0%,0%,0%,0%,0%,,"['고기', '동물성 분리물', '곡물단백질', '식물성 분리물', '미네랄', '오일', '지방', '비타민D3', '철', '요오드', '구리', '망간', '아연']"
